FULL VALIDATION MODE: 1978 prompts

=== MiniLM L6 v2 ===  (sentence-transformers/all-MiniLM-L6-v2)
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 18775.02it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
  load       : 3.1s
  encode 1978 prompts: 3202ms total, 1.6ms/prompt   dim=384
  cos same-domain pairs: mean=0.389  diff-domain: mean=0.044  separation Δ=0.345

--- MiniLM head predictions ---
prompt                                               | top-1 (score)        | target ok?
Calcul du courant de court-circuit selon BS 7671 —   | web-frontend       0.98 | ✗ (target=calcul-normatif)
Conformité RGPD pour traitement de données IoT       | music-audio        0.93 | ✗ (target=calcul-normatif)
Calcul de couverture MC/DC selon DO-178C niveau A    | chat-fr            0.98 | ✗ (target=calcul-normatif)
Quel circuit de protection ESD selon IEC 61000-4-2   | emc                0.98 | ✗ (target=calcul-normatif)
Norme NEMA TS-2 pour contrôleurs de signalisation    | dsp                1.00 | ✗ (target=calcul-normatif)
Article 25 RGPD — privacy by design pour produit c   | security           0.92 | ✗ (target=calcul-normatif)
Calcul de l'immunité conduite selon IEC 61000-4-6    | kicad-dsl          0.88 | ✗ (target=calcul-normatif)
Calcul du PUE — Power Usage Effectiveness            | power              1.00 | ✗ (target=calcul-normatif)
Différence Cat I, II, III, IV selon EN 61010 pour    | typescript         0.89 | ✗ (target=calcul-normatif)
Comment vérifier la conformité CE d'un produit éle   | chat-fr            0.99 | ✗ (target=calcul-normatif)
Calcul du retard de coupure d'un disjoncteur selon   | chat-fr            1.00 | ✗ (target=calcul-normatif)
Calcul du score RPN selon AMDEC processus            | math               0.97 | ✗ (target=calcul-normatif)
Norme EN ISO 14644-1 — classes de salles blanches    | typescript         0.98 | ✗ (target=calcul-normatif)
Norme ISO 20022 pour échange de messages financier   | chat-fr            0.99 | ✗ (target=calcul-normatif)
Norme UL 50E vs NEMA 4X — différence ?               | reasoning          0.95 | ✗ (target=calcul-normatif)
Calcul du niveau de signal selon CISPR 22 / EN 550   | music-audio        0.99 | ✗ (target=calcul-normatif)
Norme EN 50600 pour facilités de data center         | chat-fr            0.99 | ✗ (target=calcul-normatif)
Calcul du temps de réverbération selon Sabine        | chat-fr            1.00 | ✗ (target=calcul-normatif)
Procédure de qualification sismique selon GR-63-CO   | chat-fr            0.99 | ✗ (target=calcul-normatif)
Distance d'air et de fuite — calcul selon IEC 6066   | dsp                0.83 | ✗ (target=calcul-normatif)
Norme EN 71-3 sur la migration des éléments dans j   | chat-fr            1.00 | ✗ (target=calcul-normatif)
Procédure de qualification selon AEC-Q100 grade 1    | math               0.90 | ✗ (target=calcul-normatif)
Norme NF P 01-012 pour garde-corps de bâtiments      | power              0.98 | ✗ (target=calcul-normatif)
Conformité directive ErP 2009/125/CE — eco-design    | math               0.94 | ✗ (target=calcul-normatif)
Calcul de dose de rayonnement selon IEC 62117        | kicad-dsl          0.96 | ✗ (target=calcul-normatif)
Conformité MID 2014/32/UE pour compteurs d'énergie   | chat-fr            1.00 | ✗ (target=calcul-normatif)
Évaluation SIL selon IEC 61508 sur un système de s   | kicad-dsl          0.90 | ✗ (target=calcul-normatif)
Quelle CEM appliquer à un produit IoT vendu en UE    | chat-fr            1.00 | ✗ (target=calcul-normatif)
